code;title;block;freq;months;period;legal_due_day;lead_days;int_due_day;role;applies_if;checklist;effort_min;crit;basis
TAX-NDFL-P2;Уплата НДФЛ за период с 23 по последнее число прошлого месяца;Налоги;M;;PM;5;1;;PAYROLL;employees>0 or gph;checklists/ndfl.md;15;A;НК РФ ст. 226 п. 6
TAX-SV-N;Уведомление по страховым взносам за {period};Налоги;M;2,3,5,6,8,9,11,12;PM;25;2;;PAYROLL;employees>0 or gph;;20;A;НК РФ ст. 58 п. 9
TAX-SV-P;Уплата страховых взносов за {period};Налоги;M;;PM;28;1;;PAYROLL;employees>0 or gph;;15;A;НК РФ ст. 431
TAX-SFR-P;Уплата взносов на травматизм в СФР за {period};Налоги;M;;PM;15;1;;PAYROLL;employees>0;;15;A;ФЗ-125 ст. 22
REP-PS;Персонифицированные сведения о физических лицах за {period};Отчётность;M;2,3,5,6,8,9,11,12;PM;25;3;;PAYROLL;employees>0 or gph;;30;A;НК РФ ст. 431 п. 7
REP-RSV;РСВ за {period};Отчётность;Q;1,4,7,10;CUM;25;5;;PAYROLL;employees>0 or gph;checklists/reporting.md;90;A;НК РФ ст. 431
REP-6NDFL;6-НДФЛ за {period};Отчётность;Q;2,4,7,10;CUM;25;5;;PAYROLL;employees>0 or gph;checklists/reporting.md;90;A;НК РФ ст. 230
REP-EFS2;ЕФС-1 раздел 2 (взносы на травматизм) за {period};Отчётность;Q;1,4,7,10;CUM;25;3;;PAYROLL;employees>0;checklists/reporting.md;45;A;ФЗ-125 ст. 24
REP-EFS12;ЕФС-1 подраздел 1.2 (сведения о страховом стаже) за {period};Отчётность;Y;1;PY;25;5;;PAYROLL;employees>0;checklists/reporting.md;90;A;ФЗ-27 ст. 11
TAX-USN-N;Уведомление по авансовому платежу УСН за {period};Налоги;Q;4,7,10;PQ;25;3;;ACCT;sno in ('УСН-Д','УСН-ДР');checklists/usn.md;45;A;НК РФ ст. 58 п. 9
TAX-USN-P;Уплата авансового платежа УСН за {period};Налоги;Q;4,7,10;PQ;28;1;;ACCT;sno in ('УСН-Д','УСН-ДР');checklists/usn.md;15;A;НК РФ ст. 346.21
REP-USN-OOO;Декларация по УСН за {period};Отчётность;Y;3;PY;25;7;;ACCT;sno in ('УСН-Д','УСН-ДР') and opf=='ООО';checklists/usn.md;120;A;НК РФ ст. 346.23
REP-USN-IP;Декларация по УСН за {period};Отчётность;Y;4;PY;25;7;;ACCT;sno in ('УСН-Д','УСН-ДР') and opf=='ИП';checklists/usn.md;120;A;НК РФ ст. 346.23
TAX-USN-Y-OOO;Уплата налога УСН за {period};Налоги;Y;3;PY;28;2;;ACCT;sno in ('УСН-Д','УСН-ДР') and opf=='ООО';;15;A;НК РФ ст. 346.21
TAX-USN-Y-IP;Уплата налога УСН за {period};Налоги;Y;4;PY;28;2;;ACCT;sno in ('УСН-Д','УСН-ДР') and opf=='ИП';;15;A;НК РФ ст. 346.21
REP-KUDIR;Актуализация и проверка КУДиР;Учёт;Q;1,4,7,10;PQ;0;0;20;ACCT;sno in ('УСН-Д','УСН-ДР','ПСН','ОСНО') and opf=='ИП';;45;C;Приказ ФНС ЕД-7-3/816
NDS-10;Сверка книг покупок и продаж, контроль разрывов по НДС;Налоги;Q;1,4,7,10;PQ;0;0;15;ACCT;nds;checklists/nds.md;120;B;НК РФ гл. 21
REP-NDS;Декларация по НДС за {period};Отчётность;Q;1,4,7,10;PQ;25;5;;ACCT;nds;checklists/nds.md;120;A;НК РФ ст. 174
TAX-NDS-P;Уплата 1/3 НДС за {period};Налоги;M;;PQ;28;1;;ACCT;nds;checklists/nds.md;15;A;НК РФ ст. 174 п. 1
REP-PRIB;Декларация по налогу на прибыль за {period};Отчётность;Q;3,4,7,10;CUM;25;5;;ACCT;sno=='ОСНО' and opf=='ООО';checklists/reporting.md;120;A;НК РФ ст. 289
TAX-PRIB-P;Уплата налога на прибыль за {period};Налоги;Q;3,4,7,10;CUM;28;1;;ACCT;sno=='ОСНО' and opf=='ООО';;15;A;НК РФ ст. 287
REP-3NDFL;Декларация 3-НДФЛ ИП за {period};Отчётность;Y;4;PY;30;7;;ACCT;sno=='ОСНО' and opf=='ИП';checklists/reporting.md;120;A;НК РФ ст. 229
TAX-PATENT;Контроль сроков и оплата патента;Налоги;M;;CM;0;0;20;ACCT;sno=='ПСН';;20;A;НК РФ ст. 346.51
TAX-IP-FIX;Уплата фиксированных страховых взносов ИП за {period};Налоги;Y;12;CM;28;5;;ACCT;opf=='ИП';;20;A;НК РФ ст. 430, 432
TAX-IP-1PC;Уплата взносов ИП 1% с дохода свыше 300 000 руб. за {period};Налоги;Y;7;PY;1;5;;ACCT;opf=='ИП';;30;A;НК РФ ст. 432
TAX-PROP-N;Уведомление и уплата авансов по имущественным налогам за {period};Налоги;Q;4,7,10;PQ;25;3;;ACCT;prop and opf=='ООО';;45;A;НК РФ ст. 383, 397, 363
REP-PROP-Y;Декларация по налогу на имущество за {period};Отчётность;Y;2;PY;25;5;;ACCT;prop and opf=='ООО';;60;A;НК РФ ст. 386
REP-BUH;Бухгалтерская (финансовая) отчётность за {period};Отчётность;Y;3;PY;31;10;;CHIEF;opf=='ООО';checklists/annual.md;240;A;ФЗ-402 ст. 18
REP-OKVED;Подтверждение основного вида деятельности в СФР;Отчётность;Y;4;PY;15;5;;ACCT;opf=='ООО';;30;A;Приказ Минздравсоцразвития 55
REP-STAT;Проверка перечня форм статистики на сайте Росстата и сдача;Отчётность;Q;1,4,7,10;PQ;0;0;20;ACCT;-;;45;B;ФЗ-282
CLI-10;Отчёт клиенту за {period}: налоги, статус документов, риски;Клиентский сервис;M;;PM;0;0;20;ACCT;-;checklists/client-report.md;30;B;Договор
CLI-20;Расчёт предварительной налоговой нагрузки и налоговое планирование;Клиентский сервис;Q;3,6,9,12;CM;0;0;20;CHIEF;-;;60;B;Регламент агентства
CLI-30;Сверка объёма услуг, акт и счёт за {period};Клиентский сервис;M;;PM;0;0;22;ASSIST;-;;20;B;Договор
CLI-40;Ежеквартальная встреча с клиентом по итогам квартала;Клиентский сервис;Q;2,5,8,11;PQ;0;0;15;CHIEF;-;;60;B;Регламент агентства
QC-10;Выборочный контроль качества учёта по клиенту;Контроль;M;;PM;0;0;22;CHIEF;-;checklists/qc.md;45;B;Регламент агентства
QC-20;Контроль квитанций и протоколов по отправленной отчётности;Контроль;M;;CM;0;0;28;ACCT;-;checklists/reporting.md;20;A;Регламент агентства
INT-10;Актуализация учётной политики на следующий год;Внутренние;Y;12;CM;0;0;15;CHIEF;-;;90;B;ПБУ 1/2008
INT-20;Проверка сроков действия ЭЦП, доверенностей и МЧД;Внутренние;Q;2,5,8,11;CM;0;0;20;ASSIST;-;;20;B;НК РФ ст. 29
INT-30;Планирование и распределение задач на следующий месяц;Внутренние;M;;CM;0;0;25;HEAD;-;checklists/planning.md;60;B;Регламент агентства
